timestamp,while_listening,genres, languages,feelings,hours_per_day, platform,productivity_time,social_circle,sleep,life_satisfaction
2025/09/29 5:01:49 pm GMT+5:30,Studying;Traveling;Bathing;Sleeping/ Relaxing,Indie;Love / Romantic;Sad / Emotional;Devotional / Spiritual,Hindi/Punjabi;English songs,More emotional;Relaxed and calm,3-5 hours,YouTube Music,It varies / Iam not sure,2-3 close friends,5- 6 hours,8
2025/09/29 5:51:09 pm GMT+5:30,Sleeping/ Relaxing;Doing chores(Daily tasks),Instrumental;Love / Romantic;Rock / Phonk /Hip-hop;Pop,Hindi/Punjabi;Arabic/urdu songs;English songs,More energetic;More emotional;Relaxed and calm,1-3 hours,YouTube Music,Morning,Just Me(Lonewolf),5- 6 hours,7
2025/09/29 6:01:59 pm GMT+5:30,Studying;Eating;Working out;Traveling;Sleeping/ Relaxing;Doing chores(Daily tasks),New Bollywood songs;Gazal/sufi;Love / Romantic,Hindi/Punjabi;Japanese/Korean Song;English songs,More energetic;Relaxed and calm;Focused,more than 5,Spotify,Late night (Night owl),More than 3,5- 6 hours,7
2025/09/29 6:04:08 pm GMT+5:30,Studying;Working out;Traveling;Doing chores(Daily tasks),Love / Romantic;Rock / Phonk /Hip-hop;Pop;Sad / Emotional,Hindi/Punjabi;English songs,More energetic;More emotional;Relaxed and calm;Focused,1-3 hours,YouTube Music,Late night (Night owl),2-3 close friends,5- 6 hours,7
2025/09/29 6:08:24 pm GMT+5:30,Studying;Traveling;Bathing;Sleeping/ Relaxing;Doing chores(Daily tasks),Old Bollywood;New Bollywood songs;Instrumental;Rock / Phonk /Hip-hop,Hindi/Punjabi;Japanese/Korean Song;English songs,More energetic;Relaxed and calm;Focused,more than 5,YouTube Music,Late night (Night owl),1 close friends,less than 4 hours,4
2025/09/29 6:11:49 pm GMT+5:30,Eating;Working out;Traveling;Sleeping/ Relaxing,Old Bollywood;New Bollywood songs;Sad / Emotional,Hindi/Punjabi;English songs,More energetic;More emotional;Relaxed and calm,1-3 hours,YouTube Music,Late night (Night owl),2-3 close friends,5- 6 hours,5
2025/09/29 6:12:54 pm GMT+5:30,Studying;Bathing,Old Bollywood;New Bollywood songs;Indie;Rock / Phonk /Hip-hop,Hindi/Punjabi,More energetic;More emotional,less than 1,Apple Music,Late night (Night owl),More than 3,less than 4 hours,6
2025/09/29 6:15:30 pm GMT+5:30,Studying;Eating;Working out;Traveling;Bathing;Sleeping/ Relaxing;Doing chores(Daily tasks),Old Bollywood;New Bollywood songs;Indie;Love / Romantic,Hindi/Punjabi;English songs,More energetic;Relaxed and calm,1-3 hours,Spotify,Late night (Night owl),More than 3,5- 6 hours,7
2025/09/29 6:23:50 pm GMT+5:30,Studying;Traveling;Sleeping/ Relaxing;Doing chores(Daily tasks),New Bollywood songs;Gazal/sufi;Love / Romantic;Rock / Phonk /Hip-hop;Sad / Emotional;Devotional / Spiritual,Hindi/Punjabi;English songs,Relaxed and calm,less than 1,Spotify,It varies / Iam not sure,2-3 close friends,7-8 hours,5
2025/09/29 6:23:58 pm GMT+5:30,Studying;Eating;Traveling,New Bollywood songs;Gazal/sufi;Love / Romantic,Hindi/Punjabi,More energetic;Focused,less than 1,YouTube Music,Morning,2-3 close friends,7-8 hours ,10
2025/09/29 6:25:48 pm GMT+5:30,Eating;Traveling;Sleeping/ Relaxing;Doing chores(Daily tasks),New Bollywood songs;Indie;Love / Romantic;Pop;Sad / Emotional;Devotional / Spiritual,Hindi/Punjabi;English songs;Telugu,More energetic;Relaxed and calm,1-3 hours,My own collection (downloaded songs),Morning,2-3 close friends,5- 6 hours,6
2025/09/29 6:26:21 pm GMT+5:30,Working out;Traveling;Doing chores(Daily tasks),Love / Romantic;Rock / Phonk /Hip-hop;Pop,Hindi/Punjabi;English songs,Relaxed and calm,1-3 hours,Spotify,It varies / Iam not sure,More than 3,7-8 hours,1
